Ox,HOx,H2Ox+2,HRed1,H2Red1+,H3Red1+2,H2Red2,H3Red2+,H4Red2+2
CP(C)(=O)C1=CC(=N)C=CC1=C1C=CC(=N)C=C1P(C)(C)=O,CP(C)(=O)C1=CC(=N)C=CC1=C1C=CC(=[NH2+])C=C1P(C)(C)=O,CP(C)(=O)C1=CC(=[NH2+])C=CC1=C1C=CC(=[NH2+])C=C1P(C)(C)=O,CP(C)(=O)C1=CC(=N)C=C[C]1C1=C(P(C)(C)=O)C=C(N)C=C1,CP(C)(=O)C1=CC(=[NH2])C=C[C]1C1=C(P(C)(C)=O)C=C(N)C=C1,CP(C)(=O)C1=CC(=[NH2])C=C[C]1C1=C(P(C)(C)=O)C=C([NH3])C=C1,CP(C)(=O)c1cc(N)ccc1-c1ccc(N)cc1P(C)(C)=O,CP(C)(=O)c1cc(N)ccc1-c1ccc([NH3])cc1P(C)(C)=O,CP(C)(=O)c1cc([NH3])ccc1-c1ccc([NH3])cc1P(C)(C)=O
N=C1C=CC(=C2C=CC(=N)C=C2I)C(I)=C1,N=C1C=CC(=C2C=CC(=[NH2+])C=C2I)C(I)=C1,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C=C2I)C(I)=C1,N=C1C=C[C](C2=CC=C(N)C=C2I)C(I)=C1,NC1=CC=C([C]2C=CC(=[NH2])C=C2I)C(I)=C1,[NH2]=C1C=C[C](C2=CC=C([NH3])C=C2I)C(I)=C1,Nc1ccc(-c2ccc(N)cc2I)c(I)c1,Nc1ccc(-c2ccc([NH3])cc2I)c(I)c1,[NH3]c1ccc(-c2ccc([NH3])cc2I)c(I)c1
N=C1C=CC(=C2C=CC(=N)C(N([O-])O)=C2)C=C1N([O-])O,N=C1C=CC(=C2C=CC(=[NH2+])C(N([O-])O)=C2)C=C1N([O-])O,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(N([O-])O)=C2)C=C1N([O-])O,N=C1C=C[C](C2=CC=C(N)C(N([O-])O)=C2)C=C1N([O-])O,NC1=CC=C([C]2C=CC(=[NH2])C(N([O-])O)=C2)C=C1N([O-])O,[NH2]=C1C=C[C](C2=CC=C([NH3])C(N([O-])O)=C2)C=C1N([O-])O,Nc1ccc(-c2ccc(N)c(N([O-])O)c2)cc1N([O-])O,Nc1ccc(-c2ccc([NH3])c(N([O-])O)c2)cc1N([O-])O,[NH3]c1ccc(-c2ccc([NH3])c(N([O-])O)c2)cc1N([O-])O
N=C1C=C(N)C(=C2C=C(F)C(=N)C=C2N)C=C1F,N=C1C=C(N)C(=C2C=C(F)C(=[NH2+])C=C2N)C=C1F,NC1=CC(=[NH2+])C(F)=CC1=C1C=C(F)C(=[NH2+])C=C1N,N=C1C=C(N)[C](C2=C(N)C=C(N)C(F)=C2)C=C1F,NC1=CC(=[NH2])C(F)=C[C]1C1=C(N)C=C(N)C(F)=C1,NC1=CC(=[NH2])C(F)=C[C]1C1=C(N)C=C([NH3])C(F)=C1,Nc1cc(N)c(-c2cc(F)c(N)cc2N)cc1F,Nc1cc(N)c(-c2cc(F)c([NH3])cc2N)cc1F,Nc1cc([NH3])c(F)cc1-c1cc(F)c([NH3])cc1N
N=C1C=CC(=C2C=CC(=N)C=C2CBr)C(CBr)=C1,N=C1C=CC(=C2C=CC(=[NH2+])C=C2CBr)C(CBr)=C1,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C=C2CBr)C(CBr)=C1,N=C1C=C[C](C2=CC=C(N)C=C2CBr)C(CBr)=C1,NC1=CC=C([C]2C=CC(=[NH2])C=C2CBr)C(CBr)=C1,[NH2]=C1C=C[C](C2=CC=C([NH3])C=C2CBr)C(CBr)=C1,Nc1ccc(-c2ccc(N)cc2CBr)c(CBr)c1,Nc1ccc(-c2ccc([NH3])cc2CBr)c(CBr)c1,[NH3]c1ccc(-c2ccc([NH3])cc2CBr)c(CBr)c1
CC1=C(F)C(=N)C=CC1=C1C=CC(=N)C(F)=C1C,CC1=C(F)C(=N)C=CC1=C1C=CC(=[NH2+])C(F)=C1C,CC1=C(F)C(=[NH2+])C=CC1=C1C=CC(=[NH2+])C(F)=C1C,CC1=C(F)C(=N)C=C[C]1C1=CC=C(N)C(F)=C1C,CC1=C(F)C(=[NH2])C=C[C]1C1=CC=C(N)C(F)=C1C,CC1=C(F)C(=[NH2])C=C[C]1C1=CC=C([NH3])C(F)=C1C,Cc1c(-c2ccc(N)c(F)c2C)ccc(N)c1F,Cc1c(-c2ccc([NH3])c(F)c2C)ccc(N)c1F,Cc1c(-c2ccc([NH3])c(F)c2C)ccc([NH3])c1F
CC(=Cc1ccccc1)C1=CC(=C2C=CC(=N)C(C(C)=Cc3ccccc3)=C2)C=CC1=N,CC(=Cc1ccccc1)C1=CC(=C2C=CC(=[NH2+])C(C(C)=Cc3ccccc3)=C2)C=CC1=N,CC(=Cc1ccccc1)C1=CC(=C2C=CC(=[NH2+])C(C(C)=Cc3ccccc3)=C2)C=CC1=[NH2+],CC(=Cc1ccccc1)C1=C[C](C2=CC=C(N)C(C(C)=Cc3ccccc3)=C2)C=CC1=N,CC(=Cc1ccccc1)C1=C[C](C2=CC=C(N)C(C(C)=Cc3ccccc3)=C2)C=CC1=[NH2],CC(=Cc1ccccc1)C1=C[C](C2=CC=C([NH3])C(C(C)=Cc3ccccc3)=C2)C=CC1=[NH2],CC(=Cc1ccccc1)c1cc(-c2ccc(N)c(C(C)=Cc3ccccc3)c2)ccc1N,CC(=Cc1ccccc1)c1cc(-c2ccc([NH3])c(C(C)=Cc3ccccc3)c2)ccc1N,CC(=Cc1ccccc1)c1cc(-c2ccc([NH3])c(C(C)=Cc3ccccc3)c2)ccc1[NH3]
CC1=CC(=N)C=CC1=C1C=CC(=N)C=C1C,CC1=CC(=N)C=CC1=C1C=CC(=[NH2+])C=C1C,CC1=CC(=[NH2+])C=CC1=C1C=CC(=[NH2+])C=C1C,CC1=CC(=N)C=C[C]1C1=C(C)C=C(N)C=C1,CC1=CC(=[NH2])C=C[C]1C1=C(C)C=C(N)C=C1,CC1=CC(=[NH2])C=C[C]1C1=C(C)C=C([NH3])C=C1,Cc1cc(N)ccc1-c1ccc(N)cc1C,Cc1cc(N)ccc1-c1ccc([NH3])cc1C,Cc1cc([NH3])ccc1-c1ccc([NH3])cc1C
C[Si](C)(C)C1=CC(=C2C=C([Si](C)(C)C)C(=N)C([Si](C)(C)C)=C2)C=C([Si](C)(C)C)C1=N,C[Si](C)(C)C1=CC(=C2C=C([Si](C)(C)C)C(=[NH2+])C([Si](C)(C)C)=C2)C=C([Si](C)(C)C)C1=N,C[Si](C)(C)C1=CC(=C2C=C([Si](C)(C)C)C(=[NH2+])C([Si](C)(C)C)=C2)C=C([Si](C)(C)C)C1=[NH2+],C[Si](C)(C)C1=C[C](C2=CC([Si](C)(C)C)=C(N)C([Si](C)(C)C)=C2)C=C([Si](C)(C)C)C1=N,C[Si](C)(C)C1=C[C](C2=CC([Si](C)(C)C)=C(N)C([Si](C)(C)C)=C2)C=C([Si](C)(C)C)C1=[NH2],C[Si](C)(C)C1=C[C](C2=CC([Si](C)(C)C)=C([NH3])C([Si](C)(C)C)=C2)C=C([Si](C)(C)C)C1=[NH2],C[Si](C)(C)c1cc(-c2cc([Si](C)(C)C)c(N)c([Si](C)(C)C)c2)cc([Si](C)(C)C)c1N,C[Si](C)(C)c1cc(-c2cc([Si](C)(C)C)c([NH3])c([Si](C)(C)C)c2)cc([Si](C)(C)C)c1N,C[Si](C)(C)c1cc(-c2cc([Si](C)(C)C)c([NH3])c([Si](C)(C)C)c2)cc([Si](C)(C)C)c1[NH3]
N=C1C(N)=CC(=C2C=C(N)C(=N)C(F)=C2F)C(F)=C1F,N=C1C(N)=CC(=C2C=C(N)C(=[NH2+])C(F)=C2F)C(F)=C1F,NC1=CC(=C2C=C(N)C(=[NH2+])C(F)=C2F)C(F)=C(F)C1=[NH2+],N=C1C(N)=C[C](C2=CC(N)=C(N)C(F)=C2F)C(F)=C1F,NC1=C[C](C2=CC(N)=C(N)C(F)=C2F)C(F)=C(F)C1=[NH2],NC1=C[C](C2=CC(N)=C([NH3])C(F)=C2F)C(F)=C(F)C1=[NH2],Nc1cc(-c2cc(N)c(N)c(F)c2F)c(F)c(F)c1N,Nc1cc(-c2cc(N)c([NH3])c(F)c2F)c(F)c(F)c1N,Nc1cc(-c2cc(N)c([NH3])c(F)c2F)c(F)c(F)c1[NH3]
N=C1C=CC(=C2C=CC(=N)C([NH+]=O)=C2)C=C1[NH+]=O,N=C1C=CC(=C2C=CC(=[NH2+])C([NH+]=O)=C2)C=C1[NH+]=O,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C([NH+]=O)=C2)C=C1[NH+]=O,N=C1C=C[C](C2=CC=C(N)C([NH+]=O)=C2)C=C1[NH+]=O,NC1=CC=C([C]2C=CC(=[NH2])C([NH+]=O)=C2)C=C1[NH+]=O,[NH2]=C1C=C[C](C2=CC=C([NH3])C([NH+]=O)=C2)C=C1[NH+]=O,Nc1ccc(-c2ccc(N)c([NH+]=O)c2)cc1[NH+]=O,Nc1ccc(-c2ccc([NH3])c([NH+]=O)c2)cc1[NH+]=O,[NH3]c1ccc(-c2ccc([NH3])c([NH+]=O)c2)cc1[NH+]=O
CCCNS(=O)(=O)NC1=CC(=N)C=CC1=C1C=CC(=N)C=C1NS(=O)(=O)NCCC,CCCNS(=O)(=O)NC1=CC(=N)C=CC1=C1C=CC(=[NH2+])C=C1NS(=O)(=O)NCCC,CCCNS(=O)(=O)NC1=CC(=[NH2+])C=CC1=C1C=CC(=[NH2+])C=C1NS(=O)(=O)NCCC,CCCNS(=O)(=O)NC1=CC(=N)C=C[C]1C1=C(NS(=O)(=O)NCCC)C=C(N)C=C1,CCCNS(=O)(=O)NC1=CC(=[NH2])C=C[C]1C1=C(NS(=O)(=O)NCCC)C=C(N)C=C1,CCCNS(=O)(=O)NC1=CC(=[NH2])C=C[C]1C1=C(NS(=O)(=O)NCCC)C=C([NH3])C=C1,CCCNS(=O)(=O)Nc1cc(N)ccc1-c1ccc(N)cc1NS(=O)(=O)NCCC,CCCNS(=O)(=O)Nc1cc(N)ccc1-c1ccc([NH3])cc1NS(=O)(=O)NCCC,CCCNS(=O)(=O)Nc1cc([NH3])ccc1-c1ccc([NH3])cc1NS(=O)(=O)NCCC
[C-]#[N+]C1=CC(=C2C=CC(=N)C([N+]#[C-])=C2)C=CC1=N,[C-]#[N+]C1=CC(=C2C=CC(=[NH2+])C([N+]#[C-])=C2)C=CC1=N,[C-]#[N+]C1=CC(=C2C=CC(=[NH2+])C([N+]#[C-])=C2)C=CC1=[NH2+],[C-]#[N+]C1=C[C](C2=CC=C(N)C([N+]#[C-])=C2)C=CC1=N,[C-]#[N+]C1=C[C](C2=CC=C(N)C([N+]#[C-])=C2)C=CC1=[NH2],[C-]#[N+]C1=C[C](C2=CC=C([NH3])C([N+]#[C-])=C2)C=CC1=[NH2],[C-]#[N+]c1cc(-c2ccc(N)c([N+]#[C-])c2)ccc1N,[C-]#[N+]c1cc(-c2ccc([NH3])c([N+]#[C-])c2)ccc1N,[C-]#[N+]c1cc(-c2ccc([NH3])c([N+]#[C-])c2)ccc1[NH3]
N=C1C=CC(=C2C=CC(=N)C(C3=CCCCC3)=C2)C=C1C1=CCCCC1,N=C1C=CC(=C2C=CC(=[NH2+])C(C3=CCCCC3)=C2)C=C1C1=CCCCC1,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(C3=CCCCC3)=C2)C=C1C1=CCCCC1,N=C1C=C[C](C2=CC=C(N)C(C3=CCCCC3)=C2)C=C1C1=CCCCC1,NC1=CC=C([C]2C=CC(=[NH2])C(C3=CCCCC3)=C2)C=C1C1=CCCCC1,[NH2]=C1C=C[C](C2=CC=C([NH3])C(C3=CCCCC3)=C2)C=C1C1=CCCCC1,Nc1ccc(-c2ccc(N)c(C3=CCCCC3)c2)cc1C1=CCCCC1,Nc1ccc(-c2ccc([NH3])c(C3=CCCCC3)c2)cc1C1=CCCCC1,[NH3]c1ccc(-c2ccc([NH3])c(C3=CCCCC3)c2)cc1C1=CCCCC1
CCCC#CC1=CC(=C2C=CC(=N)C(C#CCCC)=C2)C=CC1=N,CCCC#CC1=CC(=C2C=CC(=[NH2+])C(C#CCCC)=C2)C=CC1=N,CCCC#CC1=CC(=C2C=CC(=[NH2+])C(C#CCCC)=C2)C=CC1=[NH2+],CCCC#CC1=C[C](C2=CC=C(N)C(C#CCCC)=C2)C=CC1=N,CCCC#CC1=C[C](C2=CC=C(N)C(C#CCCC)=C2)C=CC1=[NH2],CCCC#CC1=C[C](C2=CC=C([NH3])C(C#CCCC)=C2)C=CC1=[NH2],CCCC#Cc1cc(-c2ccc(N)c(C#CCCC)c2)ccc1N,CCCC#Cc1cc(-c2ccc([NH3])c(C#CCCC)c2)ccc1N,CCCC#Cc1cc(-c2ccc([NH3])c(C#CCCC)c2)ccc1[NH3]
N=C1C=C(F)C(=C2C(F)=CC(=N)C=C2F)C(F)=C1,N=C1C=C(F)C(=C2C(F)=CC(=[NH2+])C=C2F)C(F)=C1,[NH2+]=C1C=C(F)C(=C2C(F)=CC(=[NH2+])C=C2F)C(F)=C1,N=C1C=C(F)[C](C2=C(F)C=C(N)C=C2F)C(F)=C1,NC1=CC(F)=C([C]2C(F)=CC(=[NH2])C=C2F)C(F)=C1,[NH2]=C1C=C(F)[C](C2=C(F)C=C([NH3])C=C2F)C(F)=C1,Nc1cc(F)c(-c2c(F)cc(N)cc2F)c(F)c1,Nc1cc(F)c(-c2c(F)cc([NH3])cc2F)c(F)c1,[NH3]c1cc(F)c(-c2c(F)cc([NH3])cc2F)c(F)c1
N=C1C=CC(=C2C=CC(=N)C(F)=C2Br)C(Br)=C1F,N=C1C=CC(=C2C=CC(=[NH2+])C(F)=C2Br)C(Br)=C1F,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(F)=C2Br)C(Br)=C1F,N=C1C=C[C](C2=CC=C(N)C(F)=C2Br)C(Br)=C1F,NC1=CC=C([C]2C=CC(=[NH2])C(F)=C2Br)C(Br)=C1F,[NH2]=C1C=C[C](C2=CC=C([NH3])C(F)=C2Br)C(Br)=C1F,Nc1ccc(-c2ccc(N)c(F)c2Br)c(Br)c1F,Nc1ccc(-c2ccc([NH3])c(F)c2Br)c(Br)c1F,[NH3]c1ccc(-c2ccc([NH3])c(F)c2Br)c(Br)c1F
N=C1C=C(Br)C(=C2C=C(Br)C(=N)C=C2Br)C=C1Br,N=C1C=C(Br)C(=C2C=C(Br)C(=[NH2+])C=C2Br)C=C1Br,[NH2+]=C1C=C(Br)C(=C2C=C(Br)C(=[NH2+])C=C2Br)C=C1Br,N=C1C=C(Br)[C](C2=C(Br)C=C(N)C(Br)=C2)C=C1Br,NC1=CC(Br)=C([C]2C=C(Br)C(=[NH2])C=C2Br)C=C1Br,[NH2]=C1C=C(Br)[C](C2=C(Br)C=C([NH3])C(Br)=C2)C=C1Br,Nc1cc(Br)c(-c2cc(Br)c(N)cc2Br)cc1Br,Nc1cc(Br)c(-c2cc(Br)c([NH3])cc2Br)cc1Br,[NH3]c1cc(Br)c(-c2cc(Br)c([NH3])cc2Br)cc1Br
N=C1C=CC(=C2C=CC(=N)C(CCCc3ccccc3)=C2)C=C1CCCc1ccccc1,N=C1C=CC(=C2C=CC(=[NH2+])C(CCCc3ccccc3)=C2)C=C1CCCc1ccccc1,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(CCCc3ccccc3)=C2)C=C1CCCc1ccccc1,N=C1C=C[C](C2=CC=C(N)C(CCCc3ccccc3)=C2)C=C1CCCc1ccccc1,NC1=CC=C([C]2C=CC(=[NH2])C(CCCc3ccccc3)=C2)C=C1CCCc1ccccc1,[NH2]=C1C=C[C](C2=CC=C([NH3])C(CCCc3ccccc3)=C2)C=C1CCCc1ccccc1,Nc1ccc(-c2ccc(N)c(CCCc3ccccc3)c2)cc1CCCc1ccccc1,Nc1ccc(-c2ccc([NH3])c(CCCc3ccccc3)c2)cc1CCCc1ccccc1,[NH3]c1ccc(-c2ccc([NH3])c(CCCc3ccccc3)c2)cc1CCCc1ccccc1
N=C1C=CC(=C2C=CC(=N)C=C2C(F)(F)I)C(C(F)(F)I)=C1,N=C1C=CC(=C2C=CC(=[NH2+])C=C2C(F)(F)I)C(C(F)(F)I)=C1,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C=C2C(F)(F)I)C(C(F)(F)I)=C1,N=C1C=C[C](C2=CC=C(N)C=C2C(F)(F)I)C(C(F)(F)I)=C1,NC1=CC=C([C]2C=CC(=[NH2])C=C2C(F)(F)I)C(C(F)(F)I)=C1,[NH2]=C1C=C[C](C2=CC=C([NH3])C=C2C(F)(F)I)C(C(F)(F)I)=C1,Nc1ccc(-c2ccc(N)cc2C(F)(F)I)c(C(F)(F)I)c1,Nc1ccc(-c2ccc([NH3])cc2C(F)(F)I)c(C(F)(F)I)c1,[NH3]c1ccc(-c2ccc([NH3])cc2C(F)(F)I)c(C(F)(F)I)c1
N=C1C=CC(=C2C=CC(=N)C=C2CCCc2ccccc2)C(CCCc2ccccc2)=C1,N=C1C=CC(=C2C=CC(=[NH2+])C=C2CCCc2ccccc2)C(CCCc2ccccc2)=C1,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C=C2CCCc2ccccc2)C(CCCc2ccccc2)=C1,N=C1C=C[C](C2=CC=C(N)C=C2CCCc2ccccc2)C(CCCc2ccccc2)=C1,NC1=CC=C([C]2C=CC(=[NH2])C=C2CCCc2ccccc2)C(CCCc2ccccc2)=C1,[NH2]=C1C=C[C](C2=CC=C([NH3])C=C2CCCc2ccccc2)C(CCCc2ccccc2)=C1,Nc1ccc(-c2ccc(N)cc2CCCc2ccccc2)c(CCCc2ccccc2)c1,Nc1ccc(-c2ccc([NH3])cc2CCCc2ccccc2)c(CCCc2ccccc2)c1,[NH3]c1ccc(-c2ccc([NH3])cc2CCCc2ccccc2)c(CCCc2ccccc2)c1
N=C1C=CC(=C2C=CC(=N)C(CCN)=C2)C=C1CCN,N=C1C=CC(=C2C=CC(=[NH2+])C(CCN)=C2)C=C1CCN,NCCC1=CC(=C2C=CC(=[NH2+])C(CCN)=C2)C=CC1=[NH2+],N=C1C=C[C](C2=CC=C(N)C(CCN)=C2)C=C1CCN,NCCC1=C[C](C2=CC=C(N)C(CCN)=C2)C=CC1=[NH2],NCCC1=C[C](C2=CC=C([NH3])C(CCN)=C2)C=CC1=[NH2],NCCc1cc(-c2ccc(N)c(CCN)c2)ccc1N,NCCc1cc(-c2ccc([NH3])c(CCN)c2)ccc1N,NCCc1cc(-c2ccc([NH3])c(CCN)c2)ccc1[NH3]
C[Si](C)(C)C1=CC(=C2C=CC(=N)C([Si](C)(C)C)=C2)C=CC1=N,C[Si](C)(C)C1=CC(=C2C=CC(=[NH2+])C([Si](C)(C)C)=C2)C=CC1=N,C[Si](C)(C)C1=CC(=C2C=CC(=[NH2+])C([Si](C)(C)C)=C2)C=CC1=[NH2+],C[Si](C)(C)C1=C[C](C2=CC=C(N)C([Si](C)(C)C)=C2)C=CC1=N,C[Si](C)(C)C1=C[C](C2=CC=C(N)C([Si](C)(C)C)=C2)C=CC1=[NH2],C[Si](C)(C)C1=C[C](C2=CC=C([NH3])C([Si](C)(C)C)=C2)C=CC1=[NH2],C[Si](C)(C)c1cc(-c2ccc(N)c([Si](C)(C)C)c2)ccc1N,C[Si](C)(C)c1cc(-c2ccc([NH3])c([Si](C)(C)C)c2)ccc1N,C[Si](C)(C)c1cc(-c2ccc([NH3])c([Si](C)(C)C)c2)ccc1[NH3]
CC1=C(I)C(=N)C=CC1=C1C=CC(=N)C(I)=C1C,CC1=C(I)C(=N)C=CC1=C1C=CC(=[NH2+])C(I)=C1C,CC1=C(I)C(=[NH2+])C=CC1=C1C=CC(=[NH2+])C(I)=C1C,CC1=C(I)C(=N)C=C[C]1C1=CC=C(N)C(I)=C1C,CC1=C(I)C(=[NH2])C=C[C]1C1=CC=C(N)C(I)=C1C,CC1=C(I)C(=[NH2])C=C[C]1C1=CC=C([NH3])C(I)=C1C,Cc1c(-c2ccc(N)c(I)c2C)ccc(N)c1I,Cc1c(-c2ccc([NH3])c(I)c2C)ccc(N)c1I,Cc1c(-c2ccc([NH3])c(I)c2C)ccc([NH3])c1I
N=C1C=CC(=C2C=CC(=N)C(N=C=S)=C2)C=C1N=C=S,N=C1C=CC(=C2C=CC(=[NH2+])C(N=C=S)=C2)C=C1N=C=S,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(N=C=S)=C2)C=C1N=C=S,N=C1C=C[C](C2=CC=C(N)C(N=C=S)=C2)C=C1N=C=S,NC1=CC=C([C]2C=CC(=[NH2])C(N=C=S)=C2)C=C1N=C=S,[NH2]=C1C=C[C](C2=CC=C([NH3])C(N=C=S)=C2)C=C1N=C=S,Nc1ccc(-c2ccc(N)c(N=C=S)c2)cc1N=C=S,Nc1ccc(-c2ccc([NH3])c(N=C=S)c2)cc1N=C=S,[NH3]c1ccc(-c2ccc([NH3])c(N=C=S)c2)cc1N=C=S
N=C1C=CC(=C2C=CC(=N)C([N+](=O)[O-])=C2)C=C1[N+](=O)[O-],N=C1C=CC(=C2C=CC(=[NH2+])C([N+](=O)[O-])=C2)C=C1[N+](=O)[O-],[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C([N+](=O)[O-])=C2)C=C1[N+](=O)[O-],N=C1C=C[C](C2=CC=C(N)C([N+](=O)[O-])=C2)C=C1[N+](=O)[O-],NC1=CC=C([C]2C=CC(=[NH2])C([N+](=O)[O-])=C2)C=C1[N+](=O)[O-],[NH2]=C1C=C[C](C2=CC=C([NH3])C([N+](=O)[O-])=C2)C=C1[N+](=O)[O-],Nc1ccc(-c2ccc(N)c([N+](=O)[O-])c2)cc1[N+](=O)[O-],Nc1ccc(-c2ccc([NH3])c([N+](=O)[O-])c2)cc1[N+](=O)[O-],[NH3]c1ccc(-c2ccc([NH3])c([N+](=O)[O-])c2)cc1[N+](=O)[O-]
N=C1C=C(F)C(=C2C=C(S)C(=N)C=C2F)C=C1S,N=C1C=C(F)C(=C2C=C(S)C(=[NH2+])C=C2F)C=C1S,[NH2+]=C1C=C(F)C(=C2C=C(S)C(=[NH2+])C=C2F)C=C1S,N=C1C=C(F)[C](C2=C(F)C=C(N)C(S)=C2)C=C1S,NC1=CC(F)=C([C]2C=C(S)C(=[NH2])C=C2F)C=C1S,[NH2]=C1C=C(F)[C](C2=C(F)C=C([NH3])C(S)=C2)C=C1S,Nc1cc(F)c(-c2cc(S)c(N)cc2F)cc1S,Nc1cc(F)c(-c2cc(S)c([NH3])cc2F)cc1S,[NH3]c1cc(F)c(-c2cc(S)c([NH3])cc2F)cc1S
N=C1C=CC(=C2C=CC(=N)C=C2CN)C(CN)=C1,N=C1C=CC(=C2C=CC(=[NH2+])C=C2CN)C(CN)=C1,NCC1=CC(=[NH2+])C=CC1=C1C=CC(=[NH2+])C=C1CN,N=C1C=C[C](C2=C(CN)C=C(N)C=C2)C(CN)=C1,NCC1=CC(=[NH2])C=C[C]1C1=C(CN)C=C(N)C=C1,NCC1=CC(=[NH2])C=C[C]1C1=C(CN)C=C([NH3])C=C1,NCc1cc(N)ccc1-c1ccc(N)cc1CN,NCc1cc(N)ccc1-c1ccc([NH3])cc1CN,NCc1cc([NH3])ccc1-c1ccc([NH3])cc1CN
N=C1C(Br)=CC(=C2C=C(Br)C(=N)C(Br)=C2F)C(F)=C1Br,N=C1C(Br)=CC(=C2C=C(Br)C(=[NH2+])C(Br)=C2F)C(F)=C1Br,[NH2+]=C1C(Br)=CC(=C2C=C(Br)C(=[NH2+])C(Br)=C2F)C(F)=C1Br,N=C1C(Br)=C[C](C2=CC(Br)=C(N)C(Br)=C2F)C(F)=C1Br,NC1=C(Br)C=C([C]2C=C(Br)C(=[NH2])C(Br)=C2F)C(F)=C1Br,[NH2]=C1C(Br)=C[C](C2=CC(Br)=C([NH3])C(Br)=C2F)C(F)=C1Br,Nc1c(Br)cc(-c2cc(Br)c(N)c(Br)c2F)c(F)c1Br,Nc1c(Br)cc(-c2cc(Br)c([NH3])c(Br)c2F)c(F)c1Br,[NH3]c1c(Br)cc(-c2cc(Br)c([NH3])c(Br)c2F)c(F)c1Br
N=C1C(F)=CC(=C2C=C(F)C(=N)C(N)=C2F)C(F)=C1N,N=C1C(F)=CC(=C2C=C(F)C(=[NH2+])C(N)=C2F)C(F)=C1N,NC1=C(F)C(=C2C=C(F)C(=[NH2+])C(N)=C2F)C=C(F)C1=[NH2+],N=C1C(F)=C[C](C2=CC(F)=C(N)C(N)=C2F)C(F)=C1N,NC1=C(F)C=C([C]2C=C(F)C(=[NH2])C(N)=C2F)C(F)=C1N,NC1=C(F)[C](C2=CC(F)=C([NH3])C(N)=C2F)C=C(F)C1=[NH2],Nc1c(F)cc(-c2cc(F)c(N)c(N)c2F)c(F)c1N,Nc1c(F)cc(-c2cc(F)c([NH3])c(N)c2F)c(F)c1N,Nc1c([NH3])c(F)cc(-c2cc(F)c([NH3])c(N)c2F)c1F
CC1=C(Br)C(=N)C=CC1=C1C=CC(=N)C(Br)=C1C,CC1=C(Br)C(=N)C=CC1=C1C=CC(=[NH2+])C(Br)=C1C,CC1=C(Br)C(=[NH2+])C=CC1=C1C=CC(=[NH2+])C(Br)=C1C,CC1=C(Br)C(=N)C=C[C]1C1=CC=C(N)C(Br)=C1C,CC1=C(Br)C(=[NH2])C=C[C]1C1=CC=C(N)C(Br)=C1C,CC1=C(Br)C(=[NH2])C=C[C]1C1=CC=C([NH3])C(Br)=C1C,Cc1c(-c2ccc(N)c(Br)c2C)ccc(N)c1Br,Cc1c(-c2ccc([NH3])c(Br)c2C)ccc(N)c1Br,Cc1c(-c2ccc([NH3])c(Br)c2C)ccc([NH3])c1Br
C=C(C)C1=CC(=C2C=CC(=N)C(C(=C)C)=C2)C=CC1=N,C=C(C)C1=CC(=C2C=CC(=[NH2+])C(C(=C)C)=C2)C=CC1=N,C=C(C)C1=CC(=C2C=CC(=[NH2+])C(C(=C)C)=C2)C=CC1=[NH2+],C=C(C)C1=C[C](C2=CC=C(N)C(C(=C)C)=C2)C=CC1=N,C=C(C)C1=C[C](C2=CC=C(N)C(C(=C)C)=C2)C=CC1=[NH2],C=C(C)C1=C[C](C2=CC=C([NH3])C(C(=C)C)=C2)C=CC1=[NH2],C=C(C)c1cc(-c2ccc(N)c(C(=C)C)c2)ccc1N,C=C(C)c1cc(-c2ccc([NH3])c(C(=C)C)c2)ccc1N,C=C(C)c1cc(-c2ccc([NH3])c(C(=C)C)c2)ccc1[NH3]
N=C1C=CC(=C2C=CC(=N)C(I)=C2F)C(F)=C1I,N=C1C=CC(=C2C=CC(=[NH2+])C(I)=C2F)C(F)=C1I,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(I)=C2F)C(F)=C1I,N=C1C=C[C](C2=CC=C(N)C(I)=C2F)C(F)=C1I,NC1=CC=C([C]2C=CC(=[NH2])C(I)=C2F)C(F)=C1I,[NH2]=C1C=C[C](C2=CC=C([NH3])C(I)=C2F)C(F)=C1I,Nc1ccc(-c2ccc(N)c(I)c2F)c(F)c1I,Nc1ccc(-c2ccc([NH3])c(I)c2F)c(F)c1I,[NH3]c1ccc(-c2ccc([NH3])c(I)c2F)c(F)c1I
