Ox,HOx,H2Ox+2,HRed1,H2Red1+,H3Red1+2,H2Red2,H3Red2+,H4Red2+2
N=C1C=CC(=C2C=CC(=N)C=C2F)C(F)=C1,N=C1C=CC(=C2C=CC(=[NH2+])C=C2F)C(F)=C1,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C=C2F)C(F)=C1,N=C1C=C[C](C2=CC=C(N)C=C2F)C(F)=C1,NC1=CC=C([C]2C=CC(=[NH2])C=C2F)C(F)=C1,[NH2]=C1C=C[C](C2=CC=C([NH3])C=C2F)C(F)=C1,Nc1ccc(-c2ccc(N)cc2F)c(F)c1,Nc1ccc(-c2ccc([NH3])cc2F)c(F)c1,[NH3]c1ccc(-c2ccc([NH3])cc2F)c(F)c1
N=C1C=C(Br)C(=C2C=C(F)C(=N)C=C2Br)C=C1F,N=C1C=C(Br)C(=C2C=C(F)C(=[NH2+])C=C2Br)C=C1F,[NH2+]=C1C=C(Br)C(=C2C=C(F)C(=[NH2+])C=C2Br)C=C1F,N=C1C=C(Br)[C](C2=C(Br)C=C(N)C(F)=C2)C=C1F,NC1=CC(Br)=C([C]2C=C(F)C(=[NH2])C=C2Br)C=C1F,[NH2]=C1C=C(Br)[C](C2=C(Br)C=C([NH3])C(F)=C2)C=C1F,Nc1cc(Br)c(-c2cc(F)c(N)cc2Br)cc1F,Nc1cc(Br)c(-c2cc(F)c([NH3])cc2Br)cc1F,[NH3]c1cc(Br)c(-c2cc(F)c([NH3])cc2Br)cc1F
N=C1C=CC(=C2C=CC(=N)C(N)=C2Br)C(Br)=C1N,N=C1C=CC(=C2C=CC(=[NH2+])C(N)=C2Br)C(Br)=C1N,NC1=C(Br)C(=C2C=CC(=[NH2+])C(N)=C2Br)C=CC1=[NH2+],N=C1C=C[C](C2=CC=C(N)C(N)=C2Br)C(Br)=C1N,NC1=CC=C([C]2C=CC(=[NH2])C(N)=C2Br)C(Br)=C1N,NC1=C(Br)[C](C2=CC=C([NH3])C(N)=C2Br)C=CC1=[NH2],Nc1ccc(-c2ccc(N)c(N)c2Br)c(Br)c1N,Nc1ccc(-c2ccc([NH3])c(N)c2Br)c(Br)c1N,Nc1c([NH3])ccc(-c2ccc([NH3])c(N)c2Br)c1Br
N=C(F)C1=CC(=C2C=CC(=N)C(C(=N)F)=C2)C=CC1=N,N=C(F)C1=CC(=C2C=CC(=[NH2+])C(C(=N)F)=C2)C=CC1=N,N=C(F)C1=CC(=C2C=CC(=[NH2+])C(C(=N)F)=C2)C=CC1=[NH2+],N=C(F)C1=C[C](C2=CC=C(N)C(C(=N)F)=C2)C=CC1=N,N=C(F)C1=C[C](C2=CC=C(N)C(C(=N)F)=C2)C=CC1=[NH2],N=C(F)C1=C[C](C2=CC=C([NH3])C(C(=N)F)=C2)C=CC1=[NH2],N=C(F)c1cc(-c2ccc(N)c(C(=N)F)c2)ccc1N,N=C(F)c1cc(-c2ccc([NH3])c(C(=N)F)c2)ccc1N,N=C(F)c1cc(-c2ccc([NH3])c(C(=N)F)c2)ccc1[NH3]
N=C1C=CC(=C2C=CC(=N)C=C2CCC2(N)CC2)C(CCC2(N)CC2)=C1,N=C1C=CC(=C2C=CC(=[NH2+])C=C2CCC2(N)CC2)C(CCC2(N)CC2)=C1,NC1(CCC2=CC(=[NH2+])C=CC2=C2C=CC(=[NH2+])C=C2CCC2(N)CC2)CC1,N=C1C=C[C](C2=CC=C(N)C=C2CCC2(N)CC2)C(CCC2(N)CC2)=C1,NC1=CC=C([C]2C=CC(=[NH2])C=C2CCC2(N)CC2)C(CCC2(N)CC2)=C1,NC1(CCC2=CC(=[NH2])C=C[C]2C2=CC=C([NH3])C=C2CCC2(N)CC2)CC1,Nc1ccc(-c2ccc(N)cc2CCC2(N)CC2)c(CCC2(N)CC2)c1,Nc1ccc(-c2ccc([NH3])cc2CCC2(N)CC2)c(CCC2(N)CC2)c1,NC1(CCc2cc([NH3])ccc2-c2ccc([NH3])cc2CCC2(N)CC2)CC1
CSC1=CC(=N)C=CC1=C1C=CC(=N)C=C1SC,CSC1=CC(=N)C=CC1=C1C=CC(=[NH2+])C=C1SC,CSC1=CC(=[NH2+])C=CC1=C1C=CC(=[NH2+])C=C1SC,CSC1=CC(=N)C=C[C]1C1=C(SC)C=C(N)C=C1,CSC1=CC(=[NH2])C=C[C]1C1=C(SC)C=C(N)C=C1,CSC1=CC(=[NH2])C=C[C]1C1=C(SC)C=C([NH3])C=C1,CSc1cc(N)ccc1-c1ccc(N)cc1SC,CSc1cc(N)ccc1-c1ccc([NH3])cc1SC,CSc1cc([NH3])ccc1-c1ccc([NH3])cc1SC
CC(C)(N)CC1=CC(=N)C=CC1=C1C=CC(=N)C=C1CC(C)(C)N,CC(C)(N)CC1=CC(=N)C=CC1=C1C=CC(=[NH2+])C=C1CC(C)(C)N,CC(C)(N)CC1=CC(=[NH2+])C=CC1=C1C=CC(=[NH2+])C=C1CC(C)(C)N,CC(C)(N)CC1=CC(=N)C=C[C]1C1=C(CC(C)(C)N)C=C(N)C=C1,CC(C)(N)CC1=CC(=[NH2])C=C[C]1C1=C(CC(C)(C)N)C=C(N)C=C1,CC(C)(N)CC1=CC(=[NH2])C=C[C]1C1=C(CC(C)(C)N)C=C([NH3])C=C1,CC(C)(N)Cc1cc(N)ccc1-c1ccc(N)cc1CC(C)(C)N,CC(C)(N)Cc1cc(N)ccc1-c1ccc([NH3])cc1CC(C)(C)N,CC(C)(N)Cc1cc([NH3])ccc1-c1ccc([NH3])cc1CC(C)(C)N
N=C1C=CC(=C2C=CC(=N)C(C(F)(F)F)=C2)C=C1C(F)(F)F,N=C1C=CC(=C2C=CC(=[NH2+])C(C(F)(F)F)=C2)C=C1C(F)(F)F,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(C(F)(F)F)=C2)C=C1C(F)(F)F,N=C1C=C[C](C2=CC=C(N)C(C(F)(F)F)=C2)C=C1C(F)(F)F,NC1=CC=C([C]2C=CC(=[NH2])C(C(F)(F)F)=C2)C=C1C(F)(F)F,[NH2]=C1C=C[C](C2=CC=C([NH3])C(C(F)(F)F)=C2)C=C1C(F)(F)F,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)cc1C(F)(F)F,Nc1ccc(-c2ccc([NH3])c(C(F)(F)F)c2)cc1C(F)(F)F,[NH3]c1ccc(-c2ccc([NH3])c(C(F)(F)F)c2)cc1C(F)(F)F
CC(C)(C)NS(=O)(=O)NC1=CC(=N)C=CC1=C1C=CC(=N)C=C1NS(=O)(=O)NC(C)(C)C,CC(C)(C)NS(=O)(=O)NC1=CC(=N)C=CC1=C1C=CC(=[NH2+])C=C1NS(=O)(=O)NC(C)(C)C,CC(C)(C)NS(=O)(=O)NC1=CC(=[NH2+])C=CC1=C1C=CC(=[NH2+])C=C1NS(=O)(=O)NC(C)(C)C,CC(C)(C)NS(=O)(=O)NC1=CC(=N)C=C[C]1C1=C(NS(=O)(=O)NC(C)(C)C)C=C(N)C=C1,CC(C)(C)NS(=O)(=O)NC1=CC(=[NH2])C=C[C]1C1=C(NS(=O)(=O)NC(C)(C)C)C=C(N)C=C1,CC(C)(C)NS(=O)(=O)NC1=CC(=[NH2])C=C[C]1C1=C(NS(=O)(=O)NC(C)(C)C)C=C([NH3])C=C1,CC(C)(C)NS(=O)(=O)Nc1cc(N)ccc1-c1ccc(N)cc1NS(=O)(=O)NC(C)(C)C,CC(C)(C)NS(=O)(=O)Nc1cc(N)ccc1-c1ccc([NH3])cc1NS(=O)(=O)NC(C)(C)C,CC(C)(C)NS(=O)(=O)Nc1cc([NH3])ccc1-c1ccc([NH3])cc1NS(=O)(=O)NC(C)(C)C
N=C1C=CC(=C2C=CC(=N)C(CCc3ccccc3)=C2)C=C1CCc1ccccc1,N=C1C=CC(=C2C=CC(=[NH2+])C(CCc3ccccc3)=C2)C=C1CCc1ccccc1,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(CCc3ccccc3)=C2)C=C1CCc1ccccc1,N=C1C=C[C](C2=CC=C(N)C(CCc3ccccc3)=C2)C=C1CCc1ccccc1,NC1=CC=C([C]2C=CC(=[NH2])C(CCc3ccccc3)=C2)C=C1CCc1ccccc1,[NH2]=C1C=C[C](C2=CC=C([NH3])C(CCc3ccccc3)=C2)C=C1CCc1ccccc1,Nc1ccc(-c2ccc(N)c(CCc3ccccc3)c2)cc1CCc1ccccc1,Nc1ccc(-c2ccc([NH3])c(CCc3ccccc3)c2)cc1CCc1ccccc1,[NH3]c1ccc(-c2ccc([NH3])c(CCc3ccccc3)c2)cc1CCc1ccccc1
CC1=CC(=N)C(F)=CC1=C1C=C(F)C(=N)C=C1C,CC1=CC(=N)C(F)=CC1=C1C=C(F)C(=[NH2+])C=C1C,CC1=CC(=[NH2+])C(F)=CC1=C1C=C(F)C(=[NH2+])C=C1C,CC1=CC(=N)C(F)=C[C]1C1=C(C)C=C(N)C(F)=C1,CC1=CC(=[NH2])C(F)=C[C]1C1=C(C)C=C(N)C(F)=C1,CC1=CC(=[NH2])C(F)=C[C]1C1=C(C)C=C([NH3])C(F)=C1,Cc1cc(N)c(F)cc1-c1cc(F)c(N)cc1C,Cc1cc(N)c(F)cc1-c1cc(F)c([NH3])cc1C,Cc1cc([NH3])c(F)cc1-c1cc(F)c([NH3])cc1C
N=C1C=C(F)C(=C2C(F)=CC(=N)C=C2I)C(I)=C1,N=C1C=C(F)C(=C2C(F)=CC(=[NH2+])C=C2I)C(I)=C1,[NH2+]=C1C=C(F)C(=C2C(F)=CC(=[NH2+])C=C2I)C(I)=C1,N=C1C=C(F)[C](C2=C(F)C=C(N)C=C2I)C(I)=C1,NC1=CC(F)=C([C]2C(F)=CC(=[NH2])C=C2I)C(I)=C1,[NH2]=C1C=C(F)[C](C2=C(F)C=C([NH3])C=C2I)C(I)=C1,Nc1cc(F)c(-c2c(F)cc(N)cc2I)c(I)c1,Nc1cc(F)c(-c2c(F)cc([NH3])cc2I)c(I)c1,[NH3]c1cc(F)c(-c2c(F)cc([NH3])cc2I)c(I)c1
CC(C)CC1=CC(=C2C=CC(=N)C(CC(C)C)=C2)C=CC1=N,CC(C)CC1=CC(=C2C=CC(=[NH2+])C(CC(C)C)=C2)C=CC1=N,CC(C)CC1=CC(=C2C=CC(=[NH2+])C(CC(C)C)=C2)C=CC1=[NH2+],CC(C)CC1=C[C](C2=CC=C(N)C(CC(C)C)=C2)C=CC1=N,CC(C)CC1=C[C](C2=CC=C(N)C(CC(C)C)=C2)C=CC1=[NH2],CC(C)CC1=C[C](C2=CC=C([NH3])C(CC(C)C)=C2)C=CC1=[NH2],CC(C)Cc1cc(-c2ccc(N)c(CC(C)C)c2)ccc1N,CC(C)Cc1cc(-c2ccc([NH3])c(CC(C)C)c2)ccc1N,CC(C)Cc1cc(-c2ccc([NH3])c(CC(C)C)c2)ccc1[NH3]
N=C1C=CC(=C2C=CC(=N)C=C2c2ccccc2)C(c2ccccc2)=C1,N=C1C=CC(=C2C=CC(=[NH2+])C=C2c2ccccc2)C(c2ccccc2)=C1,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C=C2c2ccccc2)C(c2ccccc2)=C1,N=C1C=C[C](C2=CC=C(N)C=C2c2ccccc2)C(c2ccccc2)=C1,NC1=CC=C([C]2C=CC(=[NH2])C=C2c2ccccc2)C(c2ccccc2)=C1,[NH2]=C1C=C[C](C2=CC=C([NH3])C=C2c2ccccc2)C(c2ccccc2)=C1,Nc1ccc(-c2ccc(N)cc2-c2ccccc2)c(-c2ccccc2)c1,Nc1ccc(-c2ccc([NH3])cc2-c2ccccc2)c(-c2ccccc2)c1,[NH3]c1ccc(-c2ccc([NH3])cc2-c2ccccc2)c(-c2ccccc2)c1
N=C1C=CC(=C2C=CC(=N)C(CCCCN)=C2)C=C1CCCCN,N=C1C=CC(=C2C=CC(=[NH2+])C(CCCCN)=C2)C=C1CCCCN,NCCCCC1=CC(=C2C=CC(=[NH2+])C(CCCCN)=C2)C=CC1=[NH2+],N=C1C=C[C](C2=CC=C(N)C(CCCCN)=C2)C=C1CCCCN,NCCCCC1=C[C](C2=CC=C(N)C(CCCCN)=C2)C=CC1=[NH2],NCCCCC1=C[C](C2=CC=C([NH3])C(CCCCN)=C2)C=CC1=[NH2],NCCCCc1cc(-c2ccc(N)c(CCCCN)c2)ccc1N,NCCCCc1cc(-c2ccc([NH3])c(CCCCN)c2)ccc1N,NCCCCc1cc(-c2ccc([NH3])c(CCCCN)c2)ccc1[NH3]
N#CCC1=CC(=C2C=CC(=N)C(CC#N)=C2)C=CC1=N,N#CCC1=CC(=C2C=CC(=[NH2+])C(CC#N)=C2)C=CC1=N,N#CCC1=CC(=C2C=CC(=[NH2+])C(CC#N)=C2)C=CC1=[NH2+],N#CCC1=C[C](C2=CC=C(N)C(CC#N)=C2)C=CC1=N,N#CCC1=C[C](C2=CC=C(N)C(CC#N)=C2)C=CC1=[NH2],N#CCC1=C[C](C2=CC=C([NH3])C(CC#N)=C2)C=CC1=[NH2],N#CCc1cc(-c2ccc(N)c(CC#N)c2)ccc1N,N#CCc1cc(-c2ccc([NH3])c(CC#N)c2)ccc1N,N#CCc1cc(-c2ccc([NH3])c(CC#N)c2)ccc1[NH3]
N=C1C=CC(=C2C=CC(=N)C=C2CF)C(CF)=C1,N=C1C=CC(=C2C=CC(=[NH2+])C=C2CF)C(CF)=C1,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C=C2CF)C(CF)=C1,N=C1C=C[C](C2=CC=C(N)C=C2CF)C(CF)=C1,NC1=CC=C([C]2C=CC(=[NH2])C=C2CF)C(CF)=C1,[NH2]=C1C=C[C](C2=CC=C([NH3])C=C2CF)C(CF)=C1,Nc1ccc(-c2ccc(N)cc2CF)c(CF)c1,Nc1ccc(-c2ccc([NH3])cc2CF)c(CF)c1,[NH3]c1ccc(-c2ccc([NH3])cc2CF)c(CF)c1
N=C1C=CC(=C2C=CC(=N)C(CCC3CCCCC3)=C2)C=C1CCC1CCCCC1,N=C1C=CC(=C2C=CC(=[NH2+])C(CCC3CCCCC3)=C2)C=C1CCC1CCCCC1,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(CCC3CCCCC3)=C2)C=C1CCC1CCCCC1,N=C1C=C[C](C2=CC=C(N)C(CCC3CCCCC3)=C2)C=C1CCC1CCCCC1,NC1=CC=C([C]2C=CC(=[NH2])C(CCC3CCCCC3)=C2)C=C1CCC1CCCCC1,[NH2]=C1C=C[C](C2=CC=C([NH3])C(CCC3CCCCC3)=C2)C=C1CCC1CCCCC1,Nc1ccc(-c2ccc(N)c(CCC3CCCCC3)c2)cc1CCC1CCCCC1,Nc1ccc(-c2ccc([NH3])c(CCC3CCCCC3)c2)cc1CCC1CCCCC1,[NH3]c1ccc(-c2ccc([NH3])c(CCC3CCCCC3)c2)cc1CCC1CCCCC1
